name,uri,sid,done,mtime,remoteTLLocal
GOEL-Indexer1,"https://10.0.3.2:8089",remote_GOEL-SearchHead_1707251102.21,1,1707251102.874728,0
GOEL-Indexer2,"https://10.0.3.3:8089",remote_GOEL-SearchHead_1707251102.21,1,1707251102.874804,0
GOEL-Indexer3,"https://10.0.3.4:8089",remote_GOEL-SearchHead_1707251102.21,1,1707251102.874874,0
GOEL-SearchHead,"?","",0,0.000000,0
