name,uri,sid,done,mtime,remoteTLLocal
GOEL-Indexer1,"https://10.0.3.2:8089",remote_GOEL-SearchHead_admin__admin__search__search1_1707251387.28,1,1707251388.109710,0
GOEL-Indexer2,"https://10.0.3.3:8089",remote_GOEL-SearchHead_admin__admin__search__search1_1707251387.28,1,1707251388.099484,0
GOEL-Indexer3,"https://10.0.3.4:8089",remote_GOEL-SearchHead_admin__admin__search__search1_1707251387.28,1,1707251388.070634,0
GOEL-SearchHead,"?","",0,0.000000,0
