sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707196621.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707196621.521817",0,0,1707196621,0,0,canceled,"0.611",,,,,,,,,,,
"1707200220.9","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707200220.795319",0,0,1707200220,0,0,canceled,"0.328",,,,,,,,,,,
"1707203820.36","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707203820.534996",0,0,1707203820,0,0,canceled,"0.338",,,,,,,,,,,
"1707207420.66","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707207420.531134",0,0,1707207420,0,0,canceled,"0.337",,,,,,,,,,,
"1707211020.168","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707211020.544357",0,0,1707211020,0,0,canceled,"0.34500000000000003",,,,,,,,,,,
"1707214620.223","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707214620.521038",0,0,1707214620,0,0,canceled,"0.331",,,,,,,,,,,
"1707218220.19","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707218220.882616",0,0,1707218220,0,0,canceled,"0.341",,,,,,,,,,,
"1707221821.73","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707221821.376647",0,0,1707221821,0,0,canceled,"0.33",,,,,,,,,,,
"1707225420.11","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707225420.467617",0,0,1707225420,0,0,canceled,"0.34",,,,,,,,,,,
"1707229020.49","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707229020.518879",0,0,1707229020,0,0,canceled,"0.337",,,,,,,,,,,
"1707232620.74","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707232620.686354",0,0,1707232620,0,0,canceled,"0.34800000000000003",,,,,,,,,,,
"1707236221.46","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707236221.081885",0,0,1707236221,0,0,canceled,"0.341",,,,,,,,,,,
"1707239821.93","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707239821.073810",0,0,1707239821,0,0,canceled,"0.552",,,,,,,,,,,
"1707243420.129","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707243420.659020",0,0,1707243420,0,0,canceled,"0.329",,,,,,,,,,,
"1707247020.249","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707247020.909050",0,0,1707247020,0,0,canceled,"0.6930000000000001",,,,,,,,,,,
"1707250621.85","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer1","1707250621.019112",0,0,1707250621,0,0,canceled,"0.42",,,,,,,,,,,
