2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: cpu_arch (str): UNKNOWN_CPU_ARCH
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: crossOriginSharingHeaders (str): 
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: crossOriginSharingPolicy (str): 
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: customFavicon (str): 
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: dashboard_html_allow_embeddable_content (bool): False
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: dashboard_html_allow_iframes (bool): True
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: dashboard_html_allow_inline_styles (bool): True
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: dashboard_html_wrap_embed (bool): True
2024-02-06 03:57:14,950 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: dashboards_csp_allowed_domains (str): *.api.splkmobile.com
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: dedicatedIoThreads (int): 0
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: docsCheckerBaseURL (str): https://quickdraw.splunk.com/help
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: ecdhCurves (str): prime256v1, secp384r1, secp521r1
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: embed_footer (str): splunk>
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: embed_uri (str): 
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enableSearchJobXslt (bool): True
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enableSplunkWebClientNetloc (bool): False
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enableSplunkWebSSL (bool): False
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enableWebDebug (bool): False
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_autocomplete_login (bool): False
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_gzip (bool): True
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_insecure_login (bool): False
2024-02-06 03:57:14,951 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_insecure_pdfgen (bool): False
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_pivot_adhoc_acceleration (bool): True
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_proxy_write (bool): True
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_risky_command_check (bool): True
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_risky_command_check_dashboard (bool): True
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_secure_entity_move (bool): True
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enable_splunk_dashboard_app_feature (bool): True
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enabled_decomposers (str): plot
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: enforce_dashboards_csp (bool): True
2024-02-06 03:57:14,952 INFO	[65c1ae19727f48ae74f110] root:720 - CONFIG: engine.autoreload.on (bool): False
