127.0.0.1 - - [06/Feb/2024:03:57:15.092 +0000] "HEAD /favicon.ico HTTP/1.1" 303 124 "" "Splunk/9.0.7 (Linux 4.14.238-125.422.amzn1.x86_64; arch=x86_64)" - 65c1ae1b177f48acb02610 2ms
127.0.0.1 - - [06/Feb/2024:03:59:57.570 +0000] "HEAD /favicon.ico HTTP/1.1" 303 124 "" "Splunk/9.0.7 (Linux 4.14.238-125.422.amzn1.x86_64; arch=x86_64)" - 65c1aebd927f8f8f37c110 4ms
127.0.0.1 - admin [06/Feb/2024:04:00:41.455 +0000] "GET /en-US/app/launcher/home HTTP/1.1" 200 1447 "http://52.74.75.227:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aee9747f8f6c7ef1d0 764ms
127.0.0.1 - admin [06/Feb/2024:04:00:42.527 +0000] "GET /en-US/i18ncatalog?autoload=1&version=%4051BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F HTTP/1.1" 200 747 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aeea877f8f6c7f2e10 12ms
127.0.0.1 - - [06/Feb/2024:04:00:42.542 +0000] "GET /en-US/static/@51BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F/build/pages/enterprise/home.js HTTP/1.1" 200 72451 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aeea8a7f8f903e10d0 1ms
127.0.0.1 - admin [06/Feb/2024:04:00:42.776 +0000] "GET /en-US/config?autoload=1 HTTP/1.1" 200 892 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aeeac67f8f6c7f2e50 19ms
127.0.0.1 - - [06/Feb/2024:04:00:44.510 +0000] "GET /en-US/static/@b985591d12fd/img/skins/default/loading_medium_green_2x.png HTTP/1.1" 200 2650 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aeec827f8f8c0d8310 2ms
127.0.0.1 - - [06/Feb/2024:04:00:44.516 +0000] "GET /en-US/static/@b985591d12fd/img/skins/default/loading_medium_green.png HTTP/1.1" 200 1433 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aeec847f8f8c163890 1ms
127.0.0.1 - - [06/Feb/2024:04:00:45.668 +0000] "GET /en-US/static/@000/fonts/proxima-bold-webfont.woff HTTP/1.1" 200 39716 "http://52.74.75.227:8000/en-US/static/@51BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F/build/css/bootstrap-enterprise.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aeedab7f8f6c7f2fd0 2ms
127.0.0.1 - admin [06/Feb/2024:04:00:53.399 +0000] "GET /en-US/manager/launcher/distsearch HTTP/1.1" 200 4368 "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aef5667f8f8c163810 2849ms
127.0.0.1 - - [06/Feb/2024:04:00:56.640 +0000] "GET /en-US/static/@51BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F/css/view.css HTTP/1.1" 200 22312 "http://52.74.75.227:8000/en-US/manager/launcher/distsearch" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aef8a47f8f385f3f50 4ms
127.0.0.1 - - [06/Feb/2024:04:00:56.886 +0000] "GET /en-US/static/@51BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F/css/print.css HTTP/1.1" 200 1599 "http://52.74.75.227:8000/en-US/manager/launcher/distsearch" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aef8e27f8f380e8a10 9ms
127.0.0.1 - - [06/Feb/2024:04:00:56.890 +0000] "GET /en-US/static/@51BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F/css/tipTip.css HTTP/1.1" 200 392 "http://52.74.75.227:8000/en-US/manager/launcher/distsearch" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aef8e47f8f8c0d3b50 21ms
127.0.0.1 - - [06/Feb/2024:04:00:56.897 +0000] "GET /en-US/static/@51BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F/build/css/splunk-components-enterprise.css HTTP/1.1" 200 1239 "http://52.74.75.227:8000/en-US/manager/launcher/distsearch" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aef8e57f8f3824ac10 19ms
127.0.0.1 - admin [06/Feb/2024:04:00:56.912 +0000] "GET /en-US/modules/@51BCDCD9E9B4EA5D9CCBD6069B7073358DF67F8214F8637D9B7197ED123EE20F/modules-f1eb7bb3cd3be27b49f2a76914a94a7237f13554.min.css HTTP/1.1" 200 126 "http://52.74.75.227:8000/en-US/manager/launcher/distsearch" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 65c1aef8e97f8f385e0d10 7ms
