sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707196621.3","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707196621.724318",0,0,1707196621,0,0,canceled,"0.467",,,,,,,,,,,
"1707200221.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707200221.256104",0,0,1707200221,0,0,canceled,"0.771",,,,,,,,,,,
"1707203821.35","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707203821.180975",0,0,1707203821,0,0,canceled,"0.8230000000000001",,,,,,,,,,,
"1707207421.69","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707207421.353998",0,0,1707207421,0,0,canceled,"0.643",,,,,,,,,,,
"1707211021.165","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707211021.272067",0,0,1707211021,0,0,canceled,"0.47600000000000003",,,,,,,,,,,
"1707214621.221","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707214621.453693",0,0,1707214621,0,0,canceled,"0.468",,,,,,,,,,,
"1707218221.13","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707218221.310929",0,0,1707218221,0,0,canceled,"0.498",,,,,,,,,,,
"1707221820.72","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707221820.691867",0,0,1707221820,0,0,canceled,"0.508",,,,,,,,,,,
"1707225421.8","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707225421.776542",0,0,1707225421,0,0,canceled,"0.534",,,,,,,,,,,
"1707229020.45","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707229020.681460",0,0,1707229020,0,0,canceled,"0.647",,,,,,,,,,,
"1707232620.70","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707232620.657228",0,0,1707232620,0,0,canceled,"0.47600000000000003",,,,,,,,,,,
"1707236220.45","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707236220.805607",0,0,1707236220,0,0,canceled,"0.673",,,,,,,,,,,
"1707239820.92","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707239820.876014",0,0,1707239820,0,0,canceled,"0.675",,,,,,,,,,,
"1707243421.133","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707243421.186172",0,0,1707243421,0,0,canceled,"0.752",,,,,,,,,,,
"1707247021.246","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707247021.634141",0,0,1707247021,0,0,canceled,"0.579",,,,,,,,,,,
"1707250621.96","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","GOEL-Indexer2","1707250621.620782",0,0,1707250621,0,0,canceled,"0.463",,,,,,,,,,,
