name,uri,sid,done,mtime,remoteTLLocal
GOEL-Indexer1,"https://10.0.3.2:8089",remote_GOEL-SearchHead_admin__admin__search__search2_1707250847.2,1,1707250848.693193,0
GOEL-Indexer2,"https://10.0.3.3:8089",remote_GOEL-SearchHead_admin__admin__search__search2_1707250847.2,1,1707250848.859564,0
GOEL-Indexer3,"https://10.0.3.4:8089",remote_GOEL-SearchHead_admin__admin__search__search2_1707250847.2,1,1707250848.696686,0
GOEL-SearchHead,"?","",0,0.000000,0
