et,lt,count,available,complete
1707217200.000,1707220800.000,0,0,1
1707220800.000,1707224400.000,0,0,1
1707224400.000,1707228000.000,0,0,1
1707228000.000,1707231600.000,0,0,1
1707231600.000,1707235200.000,0,0,1
1707235200.000,1707238800.000,0,0,1
1707238800.000,1707242400.000,0,0,1
1707242400.000,1707246000.000,0,0,1
1707246000.000,1707249600.000,0,0,1
1707249600.000,1707253200.000,0,0,1
