127.0.0.1 - - [06/Feb/2024:03:05:02.858 +0000] "HEAD /robots.txt HTTP/1.1" 200 0 "-" "SplunkCli/6.0 (build b985591d12fd)" - - 0ms
127.0.0.1 - - [06/Feb/2024:03:08:52.968 +0000] "HEAD /robots.txt HTTP/1.1" 200 0 "-" "SplunkCli/6.0 (build b985591d12fd)" - - 0ms
65.49.20.117 - - [06/Feb/2024:03:09:47.652 +0000] "GET / HTTP/1.1" 303 341 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" - - 0ms
24.28.101.75 - - [06/Feb/2024:03:13:03.278 +0000] "GET /en-US/static/@000/fonts/proxima-regular-webfont.woff HTTP/1.1" 200 39798 "http://47.128.218.191:8000/en-US/static/@FE221EF05511C9F758D8BF59853842394C33703343B3C9A5A7964E4BBA593F25/build/css/bootstrap-enterprise.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - - 10ms
24.28.101.75 - - [06/Feb/2024:03:13:03.822 +0000] "GET /en-US/static/@FE221EF05511C9F758D8BF59853842394C33703343B3C9A5A7964E4BBA593F25/img/favicon.ico HTTP/1.1" 200 6684 "http://47.128.218.191:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - - 4ms
24.28.101.75 - admin [06/Feb/2024:03:13:09.374 +0000] "POST /en-US/account/login HTTP/1.1" 200 12 "http://47.128.218.191:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 5ms
24.28.101.75 - admin [06/Feb/2024:03:13:09.645 +0000] "GET /en-US/ HTTP/1.1" 303 109 "http://47.128.218.191:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 29ms
24.28.101.75 - admin [06/Feb/2024:03:13:09.927 +0000] "GET /en-US/app/launcher HTTP/1.1" 303 111 "http://47.128.218.191:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 64ms
24.28.101.75 - admin [06/Feb/2024:03:13:10.250 +0000] "GET /en-US/app/launcher/home HTTP/1.1" 200 1446 "http://47.128.218.191:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 772ms
24.28.101.75 - admin [06/Feb/2024:03:13:11.311 +0000] "GET /en-US/config?autoload=1 HTTP/1.1" 200 896 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 26ms
24.28.101.75 - - [06/Feb/2024:03:13:11.322 +0000] "GET /en-US/i18ncatalog?autoload=1&version=%40FE221EF05511C9F758D8BF59853842394C33703343B3C9A5A7964E4BBA593F25 HTTP/1.1" 200 441 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - - 18ms
24.28.101.75 - - [06/Feb/2024:03:13:11.564 +0000] "GET /en-US/static/@FE221EF05511C9F758D8BF59853842394C33703343B3C9A5A7964E4BBA593F25/build/pages/enterprise/home.js HTTP/1.1" 200 16513 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - - 5ms
24.28.101.75 - admin [06/Feb/2024:03:13:12.816 +0000] "GET /en-US/splunkd/__raw/services/dmc-conf/settings/settings?output_mode=json&_=1707189192035 HTTP/1.1" 404 50 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" - 8dcdd6e9b447c5ca185c13d982b79c88 0ms
