2024-02-06 03:05:02,625 INFO	[65c1a1dd127ff23fb38510] root:647 - splunkdConnectionTimeout=30
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] _cplogging:216 - [06/Feb/2024:03:05:02] ENGINE Listening for SIGTERM.
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] root:165 - ENGINE: Listening for SIGTERM.
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] _cplogging:216 - [06/Feb/2024:03:05:02] ENGINE Listening for SIGHUP.
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] root:165 - ENGINE: Listening for SIGHUP.
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] _cplogging:216 - [06/Feb/2024:03:05:02] ENGINE Listening for SIGUSR1.
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] root:165 - ENGINE: Listening for SIGUSR1.
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: DISPATCH_TIME_FORMAT (str): %s.%Q
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: SSOMode (str): strict
2024-02-06 03:05:02,626 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: acceptFrom (str): *
2024-02-06 03:05:02,627 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: activeLicenseGroup (NoneType): None
2024-02-06 03:05:02,627 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: activeLicenseSubgroup (str): UNKNOWN_LICENSE_SUBGROUP
2024-02-06 03:05:02,627 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: addOns (dict): {}
2024-02-06 03:05:02,627 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: allowSslCompression (bool): False
2024-02-06 03:05:02,627 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: allowSslRenegotiation (bool): True
2024-02-06 03:05:02,627 INFO	[65c1a1dd127ff23fb38510] root:720 - CONFIG: allowSsoWithoutChangingServerConf (int): 0
