sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1707202802.14","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707202802.399753",0,0,1707202802,1,0,completed,"0.094",,,,,,,,,,,
"1707202802.16","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707202802.468766",0,0,1707202802,1,0,completed,"0.10300000000000001",,,,,,,,,,,
"1707202802.18","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707202802.608192",0,0,1707202802,1,0,completed,"0.048",,,,,,,,,,,
"1707202802.20","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707202802.687389",0,0,1707202802,1,0,completed,"0.034",,,,,,,,,,,
"1707206843.62","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707206843.761033",0,0,1707206843,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707206843.64","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707206843.882922",0,0,1707206843,1,0,completed,"0.023",,,,,,,,,,,
"1707207993.81","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707207993.919078",0,0,1707207993,1,0,completed,"0.059000000000000004",,,,,,,,,,,
"1707207994.83","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707207994.043362",0,0,1707207994,1,0,completed,"0.022",,,,,,,,,,,
"1707208572.112","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707208572.018940",0,0,1707208572,1,0,completed,"0.058",,,,,,,,,,,
"1707208572.114","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707208572.148826",0,0,1707208572,1,0,completed,"0.023",,,,,,,,,,,
"1707209462.126","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707209462.626177",0,0,1707209462,1,0,completed,"0.058",,,,,,,,,,,
"1707209462.128","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707209462.748334",0,0,1707209462,1,0,completed,"0.023",,,,,,,,,,,
"1707209999.145","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707209999.882041",0,0,1707209999,1,0,completed,"0.058",,,,,,,,,,,
"1707210000.147","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707210000.022236",0,0,1707210000,1,0,completed,"0.047",,,,,,,,,,,
"1707220933.49","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707220933.342254",0,0,1707220933,1,0,completed,"0.058",,,,,,,,,,,
"1707220933.51","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707220933.467191",0,0,1707220933,1,0,completed,"0.022",,,,,,,,,,,
"1707221368.62","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707221368.585339",0,0,1707221368,1,0,completed,"0.058",,,,,,,,,,,
"1707221368.64","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707221368.712442",0,0,1707221368,1,0,completed,"0.022",,,,,,,,,,,
"1707222890.88","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707222890.047226",0,0,1707222890,1,0,completed,"0.19",,,,,,,,,,,
"1707222890.90","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707222890.447731",0,0,1707222890,1,0,completed,"0.038",,,,,,,,,,,
"1707222922.92","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707222922.735874",0,0,1707222922,1,0,completed,"0.021",,,,,,,,,,,
"1707222922.94","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707222922.781990",0,0,1707222922,1,0,completed,"0.022",,,,,,,,,,,
"1707223938.145","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707223938.350085",0,0,1707223938,1,0,completed,"0.058",,,,,,,,,,,
"1707223938.147","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707223938.490282",0,0,1707223938,1,0,completed,"0.022",,,,,,,,,,,
"1707235203.28","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707235203.188607",0,0,1707235203,1,0,completed,"0.058",,,,,,,,,,,
"1707235203.30","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707235203.309695",0,0,1707235203,1,0,completed,"0.022",,,,,,,,,,,
"1707236183.39","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707236183.785534",0,0,1707236183,1,0,completed,"0.057",,,,,,,,,,,
"1707236183.41","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707236183.905631",0,0,1707236183,1,0,completed,"0.022",,,,,,,,,,,
"1707236269.49","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707236269.052991",0,0,1707236269,1,0,completed,"0.057",,,,,,,,,,,
"1707236269.51","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707236269.185036",0,0,1707236269,1,0,completed,"0.022",,,,,,,,,,,
"1707236859.61","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707236859.550120",0,0,1707236859,1,0,completed,"0.191",,,,,,,,,,,
"1707236859.63","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707236859.926650",0,0,1707236859,1,0,completed,"0.053",,,,,,,,,,,
"1707237106.69","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707237106.963647",0,0,1707237107,1,0,completed,"0.061",,,,,,,,,,,
"1707237107.71","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707237107.098522",0,0,1707237107,1,0,completed,"0.022",,,,,,,,,,,
"1707238264.78","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707238264.525018",0,0,1707238264,1,0,completed,"0.058",,,,,,,,,,,
"1707238264.80","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707238264.645027",0,0,1707238264,1,0,completed,"0.022",,,,,,,,,,,
"1707246002.226","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707246002.031950",0,0,1707246002,1,0,completed,"0.167",,,,,,,,,,,
"1707246002.229","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707246002.202648",0,0,1707246002,1,0,completed,"0.11900000000000001",,,,,,,,,,,
"1707246002.232","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707246002.326648",0,0,1707246002,1,0,completed,"0.07",,,,,,,,,,,
"1707246002.235","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707246002.548606",0,0,1707246002,1,0,completed,"0.075",,,,,,,,,,,
"1707249797.62","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707249797.593535",0,0,1707249797,1,0,completed,"0.06",,,,,,,,,,,
"1707249797.64","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707249797.735522",0,0,1707249797,1,0,completed,"0.022",,,,,,,,,,,
"1707249877.68","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707249877.695224",0,0,1707249877,1,0,completed,"0.057",,,,,,,,,,,
"1707249877.70","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707249877.833663",0,0,1707249877,1,0,completed,"0.022",,,,,,,,,,,
"1707250494.86","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707250494.156014",0,0,1707250494,1,0,completed,"0.057",,,,,,,,,,,
"1707250494.88","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707250494.281640",0,0,1707250494,1,0,completed,"0.022",,,,,,,,,,,
"1707252030.140","| rest splunk_server=local services/server/info","GOEL-Indexer2","1707252030.588878",0,0,1707252030,1,0,completed,"0.057",,,,,,,,,,,
"1707252030.142","| rest services/server/info | sort splunk_server","GOEL-Indexer2","1707252030.713149",0,0,1707252030,1,0,completed,"0.028",,,,,,,,,,,
