02-06-2024 20:29:47.961 INFO  SearchFeatureFlags [19050 MainThread] - Overlaying SearchFeatureFlags from jsonNode={"v":1,"enabledFeatures":["stats:allow_stats_v2"],"disabledFeatures":["searchresults:srs2"]}
02-06-2024 20:29:47.962 INFO  dispatchRunner [19050 MainThread] - registering build time modules, count=1
02-06-2024 20:29:47.962 INFO  dispatchRunner [19050 MainThread] - registering search time components of build time module name=vix
02-06-2024 20:29:47.962 INFO  dispatchRunner [19050 MainThread] - Getting search configuration data from: /opt/splunk/etc/modules/parsing/config.xml
02-06-2024 20:29:47.968 WARN  SSLOptions [19050 MainThread] - server.conf/[kvstore]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
02-06-2024 20:29:47.969 INFO  BundlesSetup [19050 MainThread] - Setup stats for /opt/splunk/var/run/searchpeers/GOEL-SearchHead-1707251292: wallclock_elapsed_msec=15, cpu_time_used=0.0150768, shared_services_generation=2, shared_services_population=1
02-06-2024 20:29:47.984 INFO  UserManagerPro [19050 MainThread] - Load authentication: forcing roles="admin, can_delete, power, user"
02-06-2024 20:29:47.985 INFO  PipelineComponent [19050 MainThread] - Ingestion pipeline sets have been configured to use pipeline set policy=round_robin for multiple pipeline sets.
02-06-2024 20:29:47.985 INFO  UserManager [8880 RunDispatch] - Setting user context: splunk-system-user
02-06-2024 20:29:47.986 INFO  UserManager [8880 RunDispatch] - Done setting user context: NULL -> splunk-system-user
02-06-2024 20:29:47.986 INFO  UserManager [8880 RunDispatch] - Unwound user context: splunk-system-user -> NULL
02-06-2024 20:29:47.986 INFO  UserManager [8880 RunDispatch] - Setting user context: admin
02-06-2024 20:29:47.986 INFO  UserManager [8880 RunDispatch] - Done setting user context: NULL -> admin
02-06-2024 20:29:47.986 INFO  dispatchRunner [8880 RunDispatch] - search context: user="admin", app="search", bs-pathname="/opt/splunk/var/run/searchpeers/GOEL-SearchHead-1707251292"
02-06-2024 20:29:47.993 WARN  IndexConfig [8880 RunDispatch] - Max bucket size is larger than destination path size limit. Please check your index configuration. idx=bcgames; bucket size in (from maxDataSize) 750 MB, homePath.maxDataSizeMB=100,  coldPath.maxDataSizeMB=100
02-06-2024 20:29:47.993 WARN  IndexConfig [8880 RunDispatch] - Home path size limit cannot accomodate maximum number of hot buckets with specified bucket size because homePath.maxDataSizeMB is too small. Please check your index configuration: idx=bcgames maxDataSize=750 MB, homePath.maxDataSizeMB=100 MB
02-06-2024 20:29:47.993 WARN  IndexConfig [8880 RunDispatch] - Max bucket size is larger than destination path size limit. Please check your index configuration. idx=infra; bucket size in (from maxDataSize) 750 MB, homePath.maxDataSizeMB=100,  coldPath.maxDataSizeMB=100
02-06-2024 20:29:47.993 WARN  IndexConfig [8880 RunDispatch] - Home path size limit cannot accomodate maximum number of hot buckets with specified bucket size because homePath.maxDataSizeMB is too small. Please check your index configuration: idx=infra maxDataSize=750 MB, homePath.maxDataSizeMB=100 MB
02-06-2024 20:29:47.993 WARN  IndexConfig [8880 RunDispatch] - Max bucket size is larger than destination path size limit. Please check your index configuration. idx=soc; bucket size in (from maxDataSize) 750 MB, homePath.maxDataSizeMB=100,  coldPath.maxDataSizeMB=100
02-06-2024 20:29:47.993 WARN  IndexConfig [8880 RunDispatch] - Home path size limit cannot accomodate maximum number of hot buckets with specified bucket size because homePath.maxDataSizeMB is too small. Please check your index configuration: idx=soc maxDataSize=750 MB, homePath.maxDataSizeMB=100 MB
02-06-2024 20:29:47.994 INFO  SearchParser [8880 RunDispatch] - PARSING: litsearch (index=bcgames source=*dreamcrusher.xml* sourcetype=dreamcrusher_xml) | addinfo  type=count label=prereport_events track_fieldmeta_events=true | fields  keepcolorder=t "AttackVessel" "Infiltrators" "prestats_reserved_*" "psrsvd_*" | prestats  sum(Infiltrators) by AttackVessel
02-06-2024 20:29:47.994 INFO  StatsContext [8880 RunDispatch] -  Setting chunk size min=65536 max=1048576 double_every=100
02-06-2024 20:29:47.994 INFO  StatsContext [8880 RunDispatch] -  Setting max memory usage to 209715200
02-06-2024 20:29:47.994 INFO  SearchParser [8880 RunDispatch] - PARSING: litsearch (index=bcgames source=*dreamcrusher.xml* sourcetype=dreamcrusher_xml) | addinfo  type=count label=prereport_events track_fieldmeta_events=true | fields  keepcolorder=t "AttackVessel" "Infiltrators" "prestats_reserved_*" "psrsvd_*" | prestats  sum(Infiltrators) by AttackVessel
02-06-2024 20:29:47.994 INFO  StatsContext [8880 RunDispatch] -  Setting chunk size min=65536 max=1048576 double_every=100
02-06-2024 20:29:47.994 INFO  StatsContext [8880 RunDispatch] -  Setting max memory usage to 209715200
02-06-2024 20:29:47.994 INFO  UserManager [8880 RunDispatch] - Setting user context: splunk-system-user
02-06-2024 20:29:47.994 INFO  UserManager [8880 RunDispatch] - Done setting user context: admin -> splunk-system-user
02-06-2024 20:29:47.994 INFO  UserManager [8880 RunDispatch] - Setting user context: admin
02-06-2024 20:29:47.994 INFO  UserManager [8880 RunDispatch] - Done setting user context: splunk-system-user -> admin
02-06-2024 20:29:47.996 INFO  UserManager [8880 RunDispatch] - Unwound user context: admin -> splunk-system-user
02-06-2024 20:29:47.996 INFO  UserManager [8880 RunDispatch] - Unwound user context: splunk-system-user -> admin
02-06-2024 20:29:47.996 INFO  DispatchCommandProcessor [8880 RunDispatch] - Search requires the following indexes="[bcgames]"
02-06-2024 20:29:47.996 INFO  IndexReaderIf [8880 RunDispatch] - Loading Clustering bucket manifest file=/opt/splunk/var/run/splunk/cluster/search-buckets/search_sitedefault_gen106.csv.gz
02-06-2024 20:29:47.996 INFO  DatabaseDirectoryManager [8880 RunDispatch] - initDDMsFromSearchBucketManifest path=/opt/splunk/var/run/splunk/cluster/search-buckets/search_sitedefault_gen106.csv.gz, indexWhiteList_size=1
02-06-2024 20:29:47.996 INFO  CMBucketId [8880 RunDispatch] - CMIndexId: New indexName=_telemetry inserted, mapping to id=1
02-06-2024 20:29:47.996 INFO  CMBucketId [8880 RunDispatch] - CMIndexId: New indexName=_audit inserted, mapping to id=2
02-06-2024 20:29:47.996 INFO  CMBucketId [8880 RunDispatch] - CMIndexId: New indexName=_internal inserted, mapping to id=3
02-06-2024 20:29:47.996 INFO  dispatchRunner [8880 RunDispatch] - SearchPeerInitSearchMs=11
02-06-2024 20:29:47.996 INFO  dispatchRunner [8880 RunDispatch] - BSOrchestrator launching the parallel pipelines.
02-06-2024 20:29:47.997 INFO  SearchPipelineExecutor [8880 RunDispatch] - Number of BatchSearch pipelines launched=1
02-06-2024 20:29:47.997 INFO  SearchPipelineExecutor [8880 RunDispatch] - Starting to transmit serialized search results.
02-06-2024 20:29:47.997 INFO  SearchPipelineExecutor [8887 BatchSearch] - BatchSearch pipeline=0 is started in its own thread
02-06-2024 20:29:47.997 INFO  UserManager [8887 BatchSearch] - Setting user context: admin
02-06-2024 20:29:47.997 INFO  UserManager [8887 BatchSearch] - Done setting user context: NULL -> admin
02-06-2024 20:29:47.997 INFO  SearchPipelineExecutor [8888 NormSerializeExecutorThread] - NormSerializeExecutorThread pipeline=0 is started in its own thread.
02-06-2024 20:29:47.997 INFO  SearchParser [8887 BatchSearch] - PARSING: litsearch (index=bcgames source=*dreamcrusher.xml* sourcetype=dreamcrusher_xml) | addinfo  type=count label=prereport_events track_fieldmeta_events=true | fields  keepcolorder=t "AttackVessel" "Infiltrators" "prestats_reserved_*" "psrsvd_*" | prestats  sum(Infiltrators) by AttackVessel
02-06-2024 20:29:47.997 INFO  StatsContext [8887 BatchSearch] -  Setting chunk size min=65536 max=1048576 double_every=100
02-06-2024 20:29:47.997 INFO  StatsContext [8887 BatchSearch] -  Setting max memory usage to 209715200
02-06-2024 20:29:48.042 INFO  SearchParser [8887 BatchSearch] - PARSING: typer | tags
02-06-2024 20:29:48.048 INFO  FastTyper [8887 BatchSearch] - found nodes count: comparisons=6, unique_comparisons=5, terms=4, unique_terms=4, phrases=12, unique_phrases=12, total leaves=22
02-06-2024 20:29:48.049 INFO  BatchSearch [8887 BatchSearch] - Using Batch Search
02-06-2024 20:29:48.049 INFO  UserManager [8887 BatchSearch] - Setting user context: admin
02-06-2024 20:29:48.049 INFO  UserManager [8887 BatchSearch] - Done setting user context: admin -> admin
02-06-2024 20:29:48.049 INFO  FastSearchFilter [8887 BatchSearch] - Finished initializing IndexScopedFilter - trivial=0, nTerms=0, oTerms=0, host=0, source=1, sourcetype=1, linecount=0 exactCustomCmp=0
02-06-2024 20:29:48.049 INFO  UserManager [8887 BatchSearch] - Unwound user context: admin -> admin
02-06-2024 20:29:48.049 INFO  BatchSearch [8887 BatchSearch] -  BatchSearch is initialized for indexes = {bcgames}, et = 0.000000000, lt = 2147483647.000000000, index_et = -9223372036854775808.000000000, index_lt = 9223372036854775807.999999000, noRead = FALSE
02-06-2024 20:29:48.049 INFO  BatchSearch [8887 BatchSearch] - Clearing any DDM references
02-06-2024 20:29:48.049 INFO  CMBucketId [8887 BatchSearch] - CMIndexId: New indexName=bcgames inserted, mapping to id=4
02-06-2024 20:29:48.050 INFO  BatchSearch [8887 BatchSearch] - index: bcgames dbsize=1
02-06-2024 20:29:48.050 INFO  UnifiedSearch [8887 BatchSearch] - Initialization of search data structures took 9 ms
02-06-2024 20:29:48.050 INFO  UnifiedSearch [8887 BatchSearch] - Processed search targeting arguments
02-06-2024 20:29:48.050 INFO  StatsProcessorV2 [8887 BatchSearch] - StatsV2 (stats) args: sum(Infiltrators), by, AttackVessel
02-06-2024 20:29:48.050 INFO  StatsProcessorV2 [8887 BatchSearch] - StatsProcessorV2::processArguments: Unaligned accesses are free
02-06-2024 20:29:48.050 INFO  StatsAggregations [8887 BatchSearch] - Instantiating Stats function sum for key=Infiltrators, alias=sum(Infiltrators)
02-06-2024 20:29:48.050 INFO  StatsContext [8887 BatchSearch] - shouldFallbackToOldStats: _use_v2_level=USE_V2_ALL, fallback=false
02-06-2024 20:29:48.057 INFO  UnifiedSearch [8887 BatchSearch] - snapped earliest=1707031520 based on index min times
02-06-2024 20:29:48.057 INFO  BatchSearch [8887 BatchSearch] - Searching index:bcgames with LISPY:'[ AND source::*dreamcrusher.xml* sourcetype::dreamcrusher_xml ]'
02-06-2024 20:29:48.089 INFO  SearchOperator:kv [8887 BatchSearch] - Trying to disable extractor name="\<AttackVessel\>(?<AttackVessel>[\w\s]+)\<\/AttackVessel\>"
02-06-2024 20:29:48.089 INFO  SearchOperator:kv [8887 BatchSearch] - Trying to disable extractor name="\<Infiltrators\>(?<Infiltrators>\d+)\<\/Infiltrators\>"
02-06-2024 20:29:48.094 INFO  UserManager [8887 BatchSearch] - Unwound user context: admin -> NULL
02-06-2024 20:29:48.094 INFO  SearchPipelineExecutor [8887 BatchSearch] - BatchSearch pipleine=0 is finished.
02-06-2024 20:29:48.094 INFO  SearchPipelineExecutor [8888 NormSerializeExecutorThread] - NormSerializeExecutorThread pipeline=0 is finished.
02-06-2024 20:29:48.094 INFO  SearchPipelineExecutor [8880 RunDispatch] - Done transmitting serialized search results, total bytes transmitted 21499.
02-06-2024 20:29:48.094 INFO  dispatchRunner [8880 RunDispatch] - Finished parallel pipeline processing.
02-06-2024 20:29:48.095 INFO  SearchOperator:kv [8880 RunDispatch] - Extractor stats: name=_autoKvStats, probes=12, total_time_ms=0, max_time_ms=0
02-06-2024 20:29:48.095 INFO  SearchOperator:kv [8880 RunDispatch] - Extractor stats: name=\<AttackVessel\>(?<AttackVessel>[\w\s]+)\<\/AttackVessel\>, probes=22, total_time_ms=0, max_time_ms=0
02-06-2024 20:29:48.095 INFO  SearchOperator:kv [8880 RunDispatch] - Extractor stats: name=\<Infiltrators\>(?<Infiltrators>\d+)\<\/Infiltrators\>, probes=15, total_time_ms=0, max_time_ms=0
02-06-2024 20:29:48.095 INFO  ISearchOperator [8880 RunDispatch] - 0x7f0f42bb3400 PREAD_HISTOGRAM: usec_1_8=132 usec_8_64=0 usec_64_512=0 usec_512_4096=0 usec_4096_32768=0 usec_32768_262144=0 usec_262144_INF=0 
02-06-2024 20:29:48.095 INFO  SearchPipelineExecutor [8880 RunDispatch] - Batch Search Index Orchestrator has been shutdown.
02-06-2024 20:29:48.096 INFO  UserManager [8880 RunDispatch] - Unwound user context: admin -> NULL
02-06-2024 20:29:48.096 INFO  LookupDataProvider [8880 RunDispatch] - Clearing out lookup shared provider map
02-06-2024 20:29:48.096 INFO  dispatchRunner [19050 MainThread] - RunDispatch is done: sid=remote_GOEL-SearchHead_admin__admin__search__search1_1707251387.28, exit=0
