name,uri,sid,done,mtime,remoteTLLocal
GOEL-Indexer1,"https://10.0.3.2:8089",remote_GOEL-SearchHead_1707251119.24,1,1707251119.453392,0
GOEL-Indexer2,"https://10.0.3.3:8089",remote_GOEL-SearchHead_1707251119.24,1,1707251119.538445,0
GOEL-Indexer3,"https://10.0.3.4:8089",remote_GOEL-SearchHead_1707251119.24,1,1707251119.452875,0
GOEL-SearchHead,"?","",0,0.000000,0
